icao,airport_name,city,state,country,airport_link,source_url,raw_image,cleaned_image,status,error,crop_bbox
KJAN,Jackson/Evers International,Jackson,MS,USA,https://acukwik.com/Airport-Info/KJAN,https://acukwik.com/extimages/Listing-Images/KJAN.jpg,runway_diagrams/raw/KJAN.jpg,runway_diagrams/cleaned/KJAN.jpg,ok,,"0,0,575,550"
KJAX,Jacksonville International,Jacksonville,FL,USA,https://acukwik.com/Airport-Info/KJAX,https://acukwik.com/extimages/Listing-Images/KJAX.jpg,runway_diagrams/raw/KJAX.jpg,runway_diagrams/cleaned/KJAX.jpg,ok,,"0,0,575,625"
KJFK,John F Kennedy International,New York,NY,USA,https://acukwik.com/Airport-Info/KJFK,https://acukwik.com/extimages/Listing-Images/KJFK.jpg,runway_diagrams/raw/KJFK.jpg,runway_diagrams/cleaned/KJFK.jpg,ok,,"0,0,1000,1391"
KJKA,Gulf Shores International/Jack Edwards Field,Gulf Shores,AL,USA,https://acukwik.com/Airport-Info/KJKA,https://acukwik.com/extimages/Listing-Images/KJKA.jpg,runway_diagrams/raw/KJKA.jpg,runway_diagrams/cleaned/KJKA.jpg,ok,,"0,0,575,425"
KJPX,East Hampton Town,East Hampton,NY,USA,https://acukwik.com/Airport-Info/KJPX,https://acukwik.com/extimages/Listing-Images/KJPX.jpg,runway_diagrams/raw/KJPX.jpg,runway_diagrams/cleaned/KJPX.jpg,ok,,"0,0,575,425"
KJQF,Concord-Padgett Regional,Concord,NC,USA,https://acukwik.com/Airport-Info/KJQF,https://acukwik.com/extimages/Listing-Images/KJQF.jpg,runway_diagrams/raw/KJQF.jpg,runway_diagrams/cleaned/KJQF.jpg,ok,,"0,0,414,378"
KJST,John Murtha Johnstown/Cambria County,Johnstown,PA,USA,https://acukwik.com/Airport-Info/KJST,https://acukwik.com/extimages/Listing-Images/KJST.jpg,runway_diagrams/raw/KJST.jpg,runway_diagrams/cleaned/KJST.jpg,ok,,"0,0,414,396"
KJVL,Southern Wisconsin Regional,Janesville,WI,USA,https://acukwik.com/Airport-Info/KJVL,https://acukwik.com/extimages/Listing-Images/KJVL.jpg,runway_diagrams/raw/KJVL.jpg,runway_diagrams/cleaned/KJVL.jpg,ok,,"0,0,575,500"
KJVY,Clark Regional,Jeffersonville,IN,USA,https://acukwik.com/Airport-Info/KJVY,https://acukwik.com/extimages/Listing-Images/KJVY.jpg,runway_diagrams/raw/KJVY.jpg,runway_diagrams/cleaned/KJVY.jpg,ok,,"0,0,575,650"
KJWN,John C Tune,Nashville,TN,USA,https://acukwik.com/Airport-Info/KJWN,https://acukwik.com/extimages/Listing-Images/KJWN.jpg,runway_diagrams/raw/KJWN.jpg,runway_diagrams/cleaned/KJWN.jpg,ok,,"0,0,575,575"
KJXN,Jackson County/Reynolds Field,Jackson,MI,USA,https://acukwik.com/Airport-Info/KJXN,https://acukwik.com/extimages/Listing-Images/KJXN.jpg,runway_diagrams/raw/KJXN.jpg,runway_diagrams/cleaned/KJXN.jpg,ok,,"0,0,575,550"
KJYO,Leesburg Executive,Leesburg,VA,USA,https://acukwik.com/Airport-Info/KJYO,https://acukwik.com/extimages/Listing-Images/KJYO.jpg,runway_diagrams/raw/KJYO.jpg,runway_diagrams/cleaned/KJYO.jpg,ok,,"0,0,1000,957"
KJZI,Charleston Executive,Charleston,SC,USA,https://acukwik.com/Airport-Info/KJZI,https://acukwik.com/extimages/Listing-Images/KJZI.jpg,runway_diagrams/raw/KJZI.jpg,runway_diagrams/cleaned/KJZI.jpg,ok,,"0,0,575,475"
